object_id,bundle_id,section_code,crc32,page_id,page_number,page_size_key,element_count,text_count,line_count,frame_count,image_count,table_count,page_signature,page_signature_source
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_35,35,595.0x842.0r0,95,94,0,0,0,1,5f647cf7886f0a9abb01ecd57b0da283d7560777,size:595.0x842.0r0|elements:95|text:94|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:350424.4:0.0:1:76;text:94:120824.5:0.0:0:0
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_36,36,595.0x842.0r0,100,99,0,0,0,1,1f661a1526a19ea29c8734d76291f0dbd94b73a1,size:595.0x842.0r0|elements:100|text:99|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:364430.4:0.0:1:87;text:99:112380.2:0.0:0:0
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_37,37,595.0x842.0r0,90,89,0,0,0,1,c57c69ac08f06e9467021e54e896c276a2478f28,size:595.0x842.0r0|elements:90|text:89|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:349799.7:0.0:1:61;text:89:118471.1:0.0:0:0
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_38,38,595.0x842.0r0,96,95,0,0,0,1,4ebf38abcfd920c0cb23c7c6d3e59830ac305fdb,size:595.0x842.0r0|elements:96|text:95|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:352283.6:0.0:1:78;text:95:115687.6:0.0:0:0
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_39,39,595.0x842.0r0,97,96,0,0,0,1,f84d0c0c0f7b9cb4e101aa9dd9c38959884b9e6c,size:595.0x842.0r0|elements:97|text:96|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:360340.2:0.0:1:81;text:96:112970.3:0.0:0:0
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_40,40,595.0x842.0r0,91,90,0,0,0,1,3c60439b875ec77eb23e520745bf913894561bd6,size:595.0x842.0r0|elements:91|text:90|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:334435.1:0.0:1:78;text:90:103414.7:0.0:0:0
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_41,41,595.0x842.0r0,96,95,0,0,0,1,5aacd9f9c05e247cc72005279f2ab0eb4f256b97,size:595.0x842.0r0|elements:96|text:95|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:358357.0:0.0:1:78;text:95:110364.2:0.0:0:0
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_42,42,595.0x842.0r0,55,53,0,0,1,1,821926aff8e0dafa1218f8c028a83d36bf0c8ca6,size:595.0x842.0r0|elements:55|text:53|lines:0|frames:0|images:1|tables:1|groups:frames:0:0.0:0.0:0:0;images:1:17936.1:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:142177.7:0.0:1:35;text:53:66517.9:0.0:0:0
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_43,43,595.3x841.9r0,76,70,3,0,2,1,deefe12f88a3b2ec262abd42eda6f79ba9e0262c,size:595.3x841.9r0|elements:76|text:70|lines:3|frames:0|images:2|tables:1|groups:frames:0:0.0:0.0:0:0;images:2:5647.4:0.0:0:0;lines:3:0.0:709.9:0:0;other_vector:0:0.0:0.0:0:0;tables:1:215322.6:0.0:1:32;text:70:139071.6:0.0:0:0
1724_25,doc_801fee11,ИД,801FEE11,doc_801fee11_p_44,44,595.3x841.9r0,51,48,0,0,2,1,3db5371a22aad835d331a82f7b1eaee5ee16cf9d,size:595.3x841.9r0|elements:51|text:48|lines:0|frames:0|images:2|tables:1|groups:frames:0:0.0:0.0:0:0;images:2:29445.1:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:275878.5:0.0:1:24;text:48:96113.3:0.0:0:0
